"","date","Composite.index","Indicator.3.days","Indicator.7.days","Indicator.21.days"
"748",2009-03-06,-0.683321871388898,-0.195310740114027,-0.0104888235034222,-0.041257276759909
"749",2009-03-09,-0.769439090794139,-0.960397382733762,-0.490942397117287,0.0814574499494701
"750",2009-03-10,-0.723260964256074,0.554941054316568,-0.223506010788837,0.00684456419290915
"751",2009-03-11,-0.745932545718133,-0.0613658803563315,0.0463809033626092,-0.0155457118875177
"752",2009-03-12,-0.751893258184372,-1.14427773107015,-0.0380407992330946,-0.0430267762146229
"753",2009-03-13,-0.757726406765147,-0.331754848047859,-1.09603110143437,0.00401312316523634
"754",2009-03-16,-0.729384030758359,0.0814940894561917,0.0427454834076676,-0.38804530386557
"755",2009-03-17,-0.653958984298396,0.333202906363635,0.308193853562374,-0.0255398157797265
"756",2009-03-18,-0.647696757193787,-0.314181928187289,-0.635854744050046,-0.381220091683101
"757",2009-03-19,-0.598955756229577,-0.0312716767421723,0.0224063376522091,-0.697889133538395
"758",2009-03-20,-0.581177989282602,0.206171864634345,-0.0297246046040922,-0.0576883431251097
"759",2009-03-23,-0.52970016313934,0.102921015837046,-0.0156203510559931,-0.13403081481485
"760",2009-03-24,-0.514694011521999,-0.03183300357638,-0.0412164512519556,-0.148501280622231
"761",2009-03-25,-0.569047823446636,0.485068079493277,0.419350689280085,-0.429051004489743
"762",2009-03-26,-0.487696854671016,0.370582295487374,0.00768122100884027,0.275166236462912
"763",2009-03-27,-0.472922637390881,0.0164174355965736,0.00812687842002796,-1.09040354231522
"764",2009-03-30,-0.491941253041918,-0.788808962083237,-0.0248909659103626,-0.322450454974591
"765",2009-03-31,-0.474349033564709,-0.231037757727167,-0.0305457587610306,-0.00519843380475776
"766",2009-04-01,-0.433980862173699,0.0207576403323421,0.0264513547880577,-0.00803471283504092
"767",2009-04-02,-0.413953332155809,-0.106895350307646,-0.0127492511993948,-0.826159096745041
"768",2009-04-03,-0.420343123145883,0.182013585401621,-0.27761673807936,0.0282466782401849
"769",2009-04-07,-0.397845492436731,-0.136978406789352,-0.0924235460868234,-0.00936516355287165
"770",2009-04-08,-0.504291756498231,0.556295507259828,0.407234843864754,-0.0371897260653067
"771",2009-04-09,-0.46661402341883,0.472890524440395,0.0714008237921284,-0.0283265052832537
"772",2009-04-10,-0.391989150422235,0.787195071084667,0.262974324790223,0.15119483857551
"773",2009-04-13,-0.31142675839312,-1.86584841180055,0.0708399304276518,0.0895744088288855
"774",2009-04-14,-0.295794384065318,0.220853706978034,0.00651867054130818,-0.0491141929990215
"775",2009-04-15,-0.285496499493293,-0.052208740096874,-0.0438214109307203,-0.00602573225111779
"776",2009-04-16,-0.287734665847348,0.00429775401218036,0.00757539207214621,-0.122657880178708
"777",2009-04-17,-0.322745154048859,0.0847840205342669,-0.430307511859108,0.159239227415771
"778",2009-04-20,-0.260679525412063,0.703000474266407,0.220755634311875,0.19720545290003
"779",2009-04-21,-0.285763223981082,0.0968453705488376,-0.0660176585456411,0.0241803370462346
"780",2009-04-22,-0.372135571157251,0.823745296794438,0.391957064996428,0.618117727498611
"781",2009-04-23,-0.36912042477355,-1.04365287181797,-0.00886140963248729,-0.0141874426546786
"782",2009-04-24,-0.386932981871105,0.0103851572346204,-0.0309592755321857,-0.239049337476437
"783",2009-04-27,-0.437077185575423,-0.282983394958062,0.268763951545419,0.234107317810025
"784",2009-04-28,-0.441611501867834,-0.0811540255661534,0.0160879581725692,-0.0350706809219997
"785",2009-04-29,-0.364203416824745,1.10174561814513,-0.0715615269922927,0.292096826597626
"786",2009-04-30,-0.353325696409701,-1.44760662786068,0.0516080689172293,0.00452837044323204
"787",2009-05-04,-0.257838329781268,-0.0177520374820402,-0.208300352381074,0.211187280443771
"788",2009-05-05,-0.249221969154,0.041768458001767,0.00993851303261455,0.0189335232153733
"789",2009-05-06,-0.220021436099543,-0.0491454164785279,-0.0767451850951612,0.00290280156617477
"790",2009-05-07,-0.214304254687372,-0.0645377739907609,-0.638595321551389,0.0200583588222669
"791",2009-05-08,-0.181601513141078,0.0860586111450208,-0.00276135132965635,-0.531882749971479
"792",2009-05-11,-0.234830443530258,0.261751314344468,0.322628528568373,0.402630672234945
"793",2009-05-12,-0.190275857352648,0.51043483004426,0.104042779417744,-0.072404337564963
"794",2009-05-13,-0.13739482846928,-0.0177187487851258,-0.236342668850761,-0.147961843331183
"795",2009-05-14,-0.165087788331886,-0.821366223868171,-0.00368676658718942,-0.0190919678008612
"796",2009-05-15,-0.158860351377857,-0.157588385791803,-0.04480953963222,-0.0152784122432988
"797",2009-05-18,-0.150139620298846,0.0116296658577957,0.0121048705626375,0.0223213345432303
"798",2009-05-19,-0.122423467002519,0.0319266089488961,0.0166566907175419,-0.0414991768904237
"799",2009-05-20,-0.151728370508719,0.0874604012260945,-0.306811414081935,-0.282281728801998
"800",2009-05-21,-0.199031378582241,0.241772140878499,0.0783028302596829,0.177443421737644
"801",2009-05-22,-0.214130303934466,-0.108214224047322,-0.00361817375785073,-0.59190784835736
"802",2009-05-25,-0.199738778310724,0.103759341277688,-0.010016904837573,-0.0067550611446187
"803",2009-05-26,-0.224602139259396,-0.476001948698778,-0.00551368760174279,-0.0331657173941976
"804",2009-05-27,-0.173159103266716,0.140083417629064,0.0631426390987953,-0.471071476161426
"805",2009-06-01,-0.0707021098051888,0.201617573875302,0.245466299070834,0.160085877872572
"806",2009-06-02,-0.0671999013133517,-0.193722197389255,-0.0804734993389786,-0.239327522626528
"807",2009-06-03,-0.004241325478306,0.0572231172953811,-0.281758177135308,0.0913330227777262
"808",2009-06-04,-0.0174035991148466,0.16403020674607,0.0546339925886202,-0.255617077415378
"809",2009-06-05,-0.0328852161234643,0.153809049788909,0.111685588442154,0.0475769176696011
"810",2009-06-08,-0.0161279602602036,-0.108680265804124,-0.0386385367459017,-0.0269476745393204
"811",2009-06-09,0.00654362120185439,-0.0180401832209275,0.116173519276018,0.0580185368032623
"812",2009-06-10,0.0394319102179145,-0.0155473484634629,-0.0331201456358612,0.0808587471264464
"813",2009-06-11,0.0174793252012005,0.0756082508205728,0.0396294091605746,-0.227332904654964
"814",2009-06-12,-0.0446326903030368,0.239453995429613,0.0842018135827957,0.0274592933153593
"815",2009-06-15,0.00846867620067913,-0.0797038294441538,0.0169157756329289,0.0774322317777079
"816",2009-06-16,-0.00722168171142587,-0.0390035110520939,-0.0488447577924489,-0.00342651534873892
"817",2009-06-17,0.0323231227824966,-0.478386060739715,0.04074806021733,0.0490464609624779
"818",2009-06-18,0.0830935491972749,-0.0626461208835344,-0.0983570218041179,0.0144051527721411
"819",2009-06-19,0.113929219329046,0.0194027292877489,-0.0332475323189187,0.0211735184239388
"820",2009-06-22,0.13226362868532,0.0422859598083855,-0.0828758162019257,-0.0870779994819753
"821",2009-06-23,0.128088810615579,0.0407302476791941,-0.262315049710523,-0.286383145514872
"822",2009-06-24,0.162415092522328,0.21850013502601,0.0959037502679475,0.120656156598701
"823",2009-06-25,0.165604189658935,0.0873356449628877,0.0414136066414259,0.0310539292548055
"824",2009-06-26,0.169268752186817,-0.044299162469483,0.0272928908142853,-0.0350682619206947
"825",2009-06-29,0.223889288599244,-0.247169185391077,0.0317361383193224,0.0305265869702839
"826",2009-06-30,0.205392525206925,0.0844268541944378,0.0115772937152681,-0.0914309923305849
"827",2009-07-01,0.261972906768758,0.21766959730804,0.128386962488523,0.108633720112127
"828",2009-07-02,0.322391801611378,-0.0312780901608439,-0.0213837165565279,-0.0744229941541062
"829",2009-07-03,0.355001769422789,-0.0117182321156412,-0.0376974431273769,0.0519226535142955
